Series Name,Series Code,Country Name,Country Code,2013 [YR2013]
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Argentina,ARG,4.48297418283982
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Armenia,ARM,30.609597924773
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Aruba,ABW,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Australia,AUS,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Austria,AUT,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Azerbaijan,AZE,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Bahamas, The",BHS,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bahrain,BHR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bangladesh,BGD,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Barbados,BRB,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Belarus,BLR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Belgium,BEL,51.933311412322
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Belize,BLZ,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Benin,BEN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bermuda,BMU,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bhutan,BTN,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bolivia,BOL,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bosnia and Herzegovina,BIH,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Botswana,BWA,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Brazil,BRA,2.56693943320434
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,British Virgin Islands,VGB,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Brunei Darussalam,BRN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bulgaria,BGR,32.9030160904595
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Burkina Faso,BFA,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Burundi,BDI,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Cabo Verde,CPV,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Cambodia,KHM,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Cameroon,CMR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Canada,CAN,15.7698279247877
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Cayman Islands,CYM,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Central African Republic,CAF,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Chad,TCD,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Channel Islands,CHI,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Chile,CHL,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,China,CHN,2.05759214542241
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Colombia,COL,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Comoros,COM,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Congo, Dem. Rep.",ZAR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Congo, Rep.",COG,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Costa Rica,CRI,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Cote d'Ivoire,CIV,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Croatia,HRV,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Cuba,CUB,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Curacao,CUW,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Cyprus,CYP,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Czech Republic,CZE,35.6836118848654
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Denmark,DNK,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Djibouti,DJI,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Dominica,DMA,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Dominican Republic,DOM,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Ecuador,ECU,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Egypt, Arab Rep.",EGY,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,El Salvador,SLV,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Equatorial Guinea,GNQ,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Eritrea,ERI,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Estonia,EST,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Ethiopia,ETH,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Faroe Islands,FRO,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Fiji,FJI,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Finland,FIN,33.1307630770094
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,France,FRA,74.6757824755096
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,French Polynesia,PYF,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Gabon,GAB,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Gambia, The",GMB,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Georgia,GEO,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Germany,DEU,15.5074963259555
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Ghana,GHA,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Gibraltar,GIB,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Greece,GRC,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Greenland,GRL,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Grenada,GRD,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Guam,GUM,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Guatemala,GTM,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Guinea,GIN,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Guinea-Bissau,GNB,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Guyana,GUY,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Haiti,HTI,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Honduras,HND,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Hong Kong SAR, China",HKG,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Hungary,HUN,50.7713143725432
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Iceland,ISL,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,India,IND,2.86791567516841
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Indonesia,IDN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Iran, Islamic Rep.",IRN,2.00243369296263
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Iraq,IRQ,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Ireland,IRL,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Isle of Man,IMY,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Israel,ISR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Italy,ITA,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Jamaica,JAM,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Japan,JPN,0.89583714503067
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Jordan,JOR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Kazakhstan,KAZ,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Kenya,KEN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Kiribati,KIR,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Korea, Dem. People’s Rep.",PRK,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Korea, Rep.",KOR,25.8015099713511
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Kosovo,KSV,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Kuwait,KWT,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Kyrgyz Republic,KGZ,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Lao PDR,LAO,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Latvia,LVA,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Lebanon,LBN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Lesotho,LSO,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Liberia,LBR,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Libya,LBY,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Liechtenstein,LIE,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Lithuania,LTU,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Luxembourg,LUX,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Macao SAR, China",MAC,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Macedonia, FYR",MKD,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Madagascar,MDG,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Malawi,MWI,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Malaysia,MYS,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Maldives,MDV,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Mali,MLI,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Malta,MLT,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Marshall Islands,MHL,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Mauritania,MRT,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Mauritius,MUS,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Mexico,MEX,3.97200744583091
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Micronesia, Fed. Sts.",FSM,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Moldova,MDA,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Monaco,MCO,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Mongolia,MNG,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Montenegro,MNE,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Morocco,MAR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Mozambique,MOZ,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Myanmar,MMR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Namibia,NAM,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Nauru,NRU,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Nepal,NPL,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Netherlands,NLD,2.86592317224288
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,New Caledonia,NCL,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,New Zealand,NZL,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Nicaragua,NIC,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Niger,NER,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Nigeria,NGA,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Northern Mariana Islands,MNP,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Norway,NOR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Oman,OMN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Pakistan,PAK,4.86113951490858
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Palau,PLW,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Panama,PAN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Papua New Guinea,PNG,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Paraguay,PRY,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Peru,PER,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Philippines,PHL,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Poland,POL,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Portugal,PRT,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Puerto Rico,PRI,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Qatar,QAT,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Romania,ROM,19.8476151428181
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Russian Federation,RUS,16.3114404556023
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Rwanda,RWA,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Samoa,WSM,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,San Marino,SMR,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Sao Tome and Principe,STP,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Saudi Arabia,SAU,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Senegal,SEN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Serbia,SRB,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Seychelles,SYC,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Sierra Leone,SLE,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Singapore,SGP,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Sint Maarten (Dutch part),SXM,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Slovak Republic,SVK,55.1308129339973
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Slovenia,SVN,33.559171784968
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Solomon Islands,SLB,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Somalia,SOM,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Africa,ZAF,5.5712660747575
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Sudan,SSD,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Spain,ESP,20.3136693223525
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Sri Lanka,LKA,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,St. Kitts and Nevis,KNA,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,St. Lucia,LCA,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,St. Martin (French part),MAF,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,St. Vincent and the Grenadines,VCT,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Sudan,SDN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Suriname,SUR,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Swaziland,SWZ,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Sweden,SWE,43.4271487476394
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Switzerland,CHE,37.7734176295327
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Syrian Arab Republic,SYR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Tajikistan,TJK,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Tanzania,TZA,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Thailand,THA,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Timor-Leste,TMP,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Togo,TGO,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Tonga,TON,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Trinidad and Tobago,TTO,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Tunisia,TUN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Turkey,TUR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Turkmenistan,TKM,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Turks and Caicos Islands,TCA,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Tuvalu,TUV,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Uganda,UGA,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Ukraine,UKR,42.9563358904732
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,United Arab Emirates,ARE,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,United Kingdom,GBR,19.8194556723255
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,United States,USA,19.174774889938
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Uruguay,URY,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Uzbekistan,UZB,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Vanuatu,VUT,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Venezuela, RB",VEN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Vietnam,VNM,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Virgin Islands (U.S.),VIR,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,West Bank and Gaza,WBG,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Yemen, Rep.",YEM,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Zambia,ZMB,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Zimbabwe,ZWE,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Afghanistan,AFG,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Algeria,DZA,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Andorra,ADO,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Antigua and Barbuda,ATG,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Albania,ALB,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,American Samoa,ASM,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Angola,AGO,0
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/17/2016,,,,
